journal	category1	category2	category3	category4	category5	category6
ACTA GEODAETICA ET GEOPHYSICA	GEOCHEMISTRY & GEOPHYSICS					
ACTA GEODYNAMICA ET GEOMATERIALIA	GEOCHEMISTRY & GEOPHYSICS	MINING & MINERAL PROCESSING				
ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK	GEOGRAPHY, PHYSICAL					
ACTA GEOLOGICA POLONICA	GEOLOGY					
ACTA GEOLOGICA SINICA-ENGLISH EDITION	GEOSCIENCES, MULTIDISCIPLINARY					
ACTA GEOPHYSICA	GEOCHEMISTRY & GEOPHYSICS					
ACTA GEOTECHNICA	ENGINEERING, GEOLOGICAL					
ACTA GEOTECHNICA SLOVENICA	ENGINEERING, GEOLOGICAL					
ACTA HAEMATOLOGICA	HEMATOLOGY					
ACTA HERPETOLOGICA	ZOOLOGY					
ACTA HISTOCHEMICA	CELL BIOLOGY					
ACTA HISTOCHEMICA ET CYTOCHEMICA	CELL BIOLOGY					
ACTA ICHTHYOLOGICA ET PISCATORIA	FISHERIES	ZOOLOGY				
ACTA INFORMATICA	COMPUTER SCIENCE, INFORMATION SYSTEMS					
ACTA MATERIALIA	MATERIALS SCIENCE, MULTIDISCIPLINARY	METALLURGY & METALLURGICAL ENGINEERING				
ACTA MATHEMATICA	MATHEMATICS					
ACTA MATHEMATICA HUNGARICA	MATHEMATICS					
ACTA MATHEMATICA SCIENTIA	MATHEMATICS					
ACTA MATHEMATICA SINICA-ENGLISH SERIES	MATHEMATICS	MATHEMATICS, APPLIED				
ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES	MATHEMATICS, APPLIED					
ACTA MECHANICA	MECHANICS					
ACTA MECHANICA SINICA	ENGINEERING, MECHANICAL	MECHANICS				
ACTA MECHANICA SOLIDA SINICA	MATERIALS SCIENCE, MULTIDISCIPLINARY	MECHANICS				
ACTA MEDICA MEDITERRANEA	MEDICINE, GENERAL & INTERNAL					
